image_name,mean,max,min
img_0314,1317.0,2214,714
img_0315,1369.2,3782,773
img_0316,931.2,1117,718
img_0317,1138.1,1447,819
img_0318,958.3,1714,502
img_0319,1490.8,2276,1124
img_0320,1208.7,2281,732
img_0321,1193.3,3107,535
img_0322,1156.3,1875,823
img_0323,2239.1,5191,1073
img_0324,1025.4,1604,631
img_0325,1085.9,2265,726
img_0326,1230.4,2046,606
img_0327,1178.4,1839,743
img_0328,1059.8,1535,861
img_0329,1396.5,3264,750
img_0330,1383.6,3599,667
img_0331,1278.5,3151,817
img_0332,1204.1,1948,951
img_0333,1047.6,2262,614
img_0334,996.1,1756,614
img_0335,1141.9,1918,679
img_0336,1677.2,3584,752
img_0337,916.8,1310,720
img_0338,1100.6,2858,690
img_0339,1154.0,2169,687
img_0340,1534.0,3696,822
img_0341,1536.0,3719,422
img_0342,894.7,1177,734
img_0343,1796.1,6604,841
img_0344,1941.7,10932,646
img_0345,1495.5,2918,719
img_0346,985.5,1229,733
img_0347,1961.1,4095,749
img_0348,1142.3,1533,824
img_0349,1052.6,1959,643
img_0350,1353.4,2071,1005
img_0351,1206.9,1638,719
img_0352,1235.8,1590,751
img_0353,1090.4,2130,584
img_0354,1598.0,4646,997
img_0355,1531.4,6287,821
img_0356,1051.5,1343,815
img_0357,1189.7,1984,676
img_0358,987.2,1742,734
img_0359,1229.1,1727,727
img_0360,1224.0,2221,542
img_0361,1056.6,1462,758
img_0362,1063.3,1575,719
img_0363,987.2,1428,766
img_0364,991.1,1275,699
img_0365,1264.7,2985,662
img_0366,1435.2,2070,975
img_0367,1398.8,2357,810
img_0368,1392.3,2254,975
img_0369,1354.9,3184,748
img_0370,1068.0,1326,695
img_0371,1253.2,2440,831
img_0372,1589.7,2455,895
img_0373,1042.9,1910,663
img_0374,1588.7,6141,693
img_0375,1264.9,2535,631
img_0376,1923.5,7280,928
img_0377,1833.3,6023,863
img_0378,1559.3,4958,776
img_0379,1287.2,3720,487
img_0380,1245.8,1911,711
img_0381,1097.7,1830,565
img_0382,1239.8,2569,799
img_0383,1097.7,1440,773
img_0384,1577.4,3071,1110
img_0385,1111.4,1422,727
img_0386,1056.1,1406,774
img_0387,1269.9,3936,647
img_0388,1267.4,3337,765
img_0389,1085.7,1543,725
img_0390,1643.3,6317,759
img_0391,1418.9,2159,958
img_0392,1001.4,1716,694
img_0393,1176.1,1837,815
img_0394,1076.9,1655,647
img_0395,1143.4,2035,685
img_0396,1333.3,1661,959
img_0397,1380.4,2878,807
img_0398,968.3,1296,694
img_0399,1074.3,1527,694
img_0400,1456.5,3741,750
img_0401,1431.4,5603,631
img_0402,1876.9,6348,598
img_0403,1057.3,1668,822
img_0404,1790.5,5766,1078
img_0405,1428.8,4552,654
img_0406,1596.2,4517,463
img_0407,2050.3,4880,742
img_0408,1088.7,2769,694
img_0409,940.8,1213,767
img_0410,1093.0,1265,846
img_0411,1396.9,3527,646
img_0412,1237.2,1853,795
img_0413,1105.3,1915,868
img_0414,1799.5,3430,861
img_0415,907.3,1190,719
img_0416,2740.2,17253,727
img_0417,1240.7,2554,808
img_0418,1680.9,3745,989
img_0419,2328.2,6132,862
img_0420,993.4,2014,718
img_0421,1449.9,4639,644
img_0422,1685.7,6280,917
img_0423,1141.7,1614,662
img_0424,1527.9,2496,1125
img_0425,1274.2,2503,796
img_0426,1378.9,3467,454
img_0427,939.4,1860,651
img_0428,1306.3,2395,639
img_0429,1913.1,3400,1255
img_0430,1303.5,3994,631
img_0431,1996.2,8934,806
img_0432,1105.8,1991,735
img_0433,1292.7,2310,799
img_0434,1178.3,2743,709
img_0435,1663.0,7855,671
img_0436,1429.7,1943,953
img_0437,1542.4,2880,900
img_0438,1013.0,1279,910
img_0439,1139.9,1455,711
img_0440,1822.6,7311,486
img_0441,984.2,1286,725
img_0442,1425.3,4860,695
img_0443,1002.4,1399,807
img_0444,1461.8,2382,832
img_0445,1201.9,2977,807
img_0446,1302.9,4094,726
img_0447,1306.6,3195,716
img_0448,2442.5,12312,806
img_0449,1354.1,2776,879
img_0450,1199.6,4306,662
img_0451,1182.6,1453,813
img_0452,1366.9,3791,649
img_0453,1334.7,1870,801
img_0454,1085.9,1590,621
img_0455,1045.1,1590,845
img_0456,1878.9,4481,1039
img_0457,976.6,1481,615
img_0458,1029.3,1335,815
img_0459,1139.4,1575,675
img_0460,1113.2,2453,703
img_0461,1604.0,3126,1071
img_0462,1126.9,1422,687
img_0463,1182.1,1477,1015
img_0464,1012.0,1461,719
img_0465,1117.6,2933,631
img_0466,1155.2,1711,863
img_0467,1039.1,2367,678
img_0468,1060.5,1823,719
img_0469,1317.6,3776,598
img_0470,1055.4,1432,805
img_0471,961.1,1352,774
img_0472,992.6,1183,816
img_0473,2218.8,5127,726
img_0474,1016.7,1820,631
img_0475,1457.4,1920,795
img_0476,1546.5,3416,679
img_0477,1190.5,2143,885
img_0478,1112.8,2190,696
img_0479,1563.9,3248,934
img_0480,1419.2,2268,663
img_0481,1164.0,1654,912
img_0482,1686.0,6920,941
img_0483,1347.1,2275,826
img_0484,2192.6,9569,1015
img_0485,1050.0,2111,692
img_0486,882.9,1188,634
img_0487,1284.9,4010,764
img_0488,877.7,1048,614
img_0489,967.3,1237,767
img_0490,2192.0,5936,846
img_0491,1158.5,2046,743
img_0492,1286.7,3423,886
img_0493,956.7,1860,567
img_0494,908.3,1765,678
img_0495,1302.5,2849,758
img_0496,959.1,1311,692
img_0497,1490.2,2202,1102
img_0498,1483.7,3447,599
img_0499,1320.9,3768,832
img_0500,1152.1,1503,845
img_0501,1315.1,2552,855
img_0502,1699.4,7192,789
img_0503,1226.0,1878,817
img_0504,1047.5,1687,671
img_0505,1052.9,1685,774
img_0506,1659.7,3304,685
img_0507,1082.0,1870,750
img_0508,1142.7,2343,599
img_0509,1165.7,2699,747
img_0510,1536.9,3415,807
img_0511,1210.2,2148,831
img_0512,1132.0,1455,815
img_0513,1042.4,1531,790
img_0514,1401.0,2669,944
img_0515,1496.4,3259,918
img_0516,2206.0,7111,925
img_0517,984.7,1642,599
img_0518,1535.1,5282,526
img_0519,1263.5,3000,724
img_0520,1025.1,1246,710
img_0521,1307.1,1957,862
img_0522,1890.0,9004,885
img_0523,1016.9,1468,684
img_0524,971.6,1319,684
img_0525,1421.4,3975,869
img_0526,1224.4,1983,778
img_0527,1427.6,4765,751
img_0528,1405.6,3467,709
img_0529,1022.2,1429,871
img_0530,983.6,1657,741
img_0531,1042.9,1822,709
img_0532,1798.8,3752,1013
img_0533,997.5,1213,750
img_0534,1082.6,2104,743
img_0535,1218.4,3000,629
img_0536,1219.4,2184,775
img_0537,962.8,1111,743
img_0538,1483.2,2247,972
img_0539,1296.5,2261,718
img_0540,1666.5,6096,822
img_0541,1300.9,2292,806
img_0542,1248.4,3002,847
img_0543,1448.9,4560,839
img_0544,941.4,1255,670
img_0545,1169.9,2191,573
img_0546,1189.5,3887,583
img_0547,1397.9,1927,734
img_0548,966.3,1281,696
img_0549,1438.7,3879,598
img_0550,1422.6,2447,943
img_0551,1638.6,7346,816
img_0552,1073.1,1894,808
img_0553,1594.1,4128,725
img_0554,1122.3,1935,659
img_0555,904.0,1135,719
img_0556,1128.2,1820,637
img_0557,1272.2,2784,712
img_0558,1219.0,2535,766
img_0559,1067.7,2053,710
img_0560,1109.3,1469,686
img_0561,2513.1,5384,894
img_0562,1401.8,4097,818
img_0563,1030.3,1439,791
img_0564,907.4,1213,765
img_0565,1060.7,1472,728
img_0566,1260.2,2259,769
img_0567,1144.0,3266,623
img_0568,1261.7,1823,942
img_0569,1888.5,5919,686
img_0570,1455.9,4607,852
img_0571,910.7,1343,703
img_0572,1441.1,3480,894
img_0573,1027.2,1732,741
img_0574,1327.5,1953,797
img_0575,974.9,1361,776
img_0576,1638.6,3676,773
img_0577,942.4,1107,807
img_0578,1973.1,7182,966
img_0579,1336.0,1747,840
img_0580,936.2,1294,583
img_0581,1042.1,1208,751
img_0582,1401.2,2351,752
img_0583,1202.1,2095,830
img_0584,1014.7,1766,676
img_0585,932.4,1090,748
img_0586,2014.8,7665,820
img_0587,1292.4,2063,741
img_0588,1949.1,5270,783
img_0589,1163.5,1711,695
img_0590,1253.4,3000,860
img_0591,1823.3,5272,936
img_0592,1043.7,1967,709
img_0593,1839.2,2358,1124
img_0594,1063.2,1498,654
img_0595,1413.8,2976,800
img_0596,1072.1,2590,551
img_0597,1156.8,1765,891
img_0598,1119.0,2056,822
img_0599,1000.7,1542,718
img_0600,1184.9,1878,806
img_0601,1025.8,1742,558
img_0602,966.6,1207,725
img_0603,1108.9,2330,677
img_0604,1224.5,2560,671
img_0605,1707.3,3520,890
img_0606,1277.1,2367,694
img_0607,1605.6,3043,1061
img_0608,1090.9,1942,583
img_0609,1381.4,3279,559
img_0610,1202.9,1559,887
img_0611,2237.5,6846,927
img_0612,1106.5,1830,799
img_0613,1540.1,6160,519
img_0614,1096.2,3125,639
img_0615,1276.3,3253,757
img_0616,1056.6,2234,680
img_0617,1095.3,2752,645
img_0618,1302.3,2017,864
img_0619,941.5,1294,630
img_0620,1579.5,6191,764
img_0621,1661.2,3951,966
img_0622,1076.5,1583,719
img_0623,1262.6,2033,782
img_0624,1637.0,3214,1039
img_0625,1578.8,5285,655
img_0626,1871.6,3128,982
img_0627,1913.2,5881,807
img_0628,1276.5,1924,855
img_0629,1479.4,3404,807
img_0630,2148.2,6692,655
img_0631,1615.7,3620,1014
img_0632,1008.5,2104,525
img_0633,1221.3,1840,855
img_0634,2679.1,9639,1040
img_0635,1168.1,1500,808
img_0636,982.7,1245,615
img_0637,1499.0,3158,732
img_0638,2458.7,12920,872
img_0639,955.5,1166,791
img_0640,1279.8,2913,646
img_0641,1000.0,1444,742
img_0642,970.9,1415,694
img_0643,1191.5,1782,878
img_0644,1139.4,3160,756
img_0645,1122.8,1676,646
img_0646,5520.2,34207,797
img_0647,1307.6,2575,758
img_0648,1323.5,3736,759
img_0649,2028.2,8093,959
img_0650,1368.5,1879,1047
img_0651,1612.9,4431,694
img_0652,1319.9,2687,748
img_0653,1087.8,2044,761
img_0654,1090.1,2119,598
img_0655,1964.7,6551,1054
img_0656,1040.3,1318,704
img_0657,1210.9,2744,715
img_0658,1512.0,5543,591
img_0659,1936.3,7247,765
img_0660,1289.3,4098,636
img_0661,1170.1,2323,751
img_0662,1649.7,3440,932
img_0663,1019.1,1872,630
img_0664,1070.8,1447,677
img_0665,1379.3,2751,872
img_0666,1281.4,2179,735
img_0667,1413.6,3295,710
img_0668,1076.2,2087,661
img_0669,1406.3,2855,654
img_0670,2450.2,9896,1094
img_0671,1137.8,2661,730
img_0672,2080.0,12739,398
img_0673,1155.5,2888,686
img_0674,1501.3,4482,805
img_0675,1230.8,2726,782
img_0676,885.1,1185,680
img_0677,1361.3,2130,1038
img_0678,877.0,1088,642
img_0679,1066.3,1645,810
img_0680,1262.4,1952,814
img_0681,968.8,1223,711
img_0682,1258.2,3142,837
img_0683,1527.7,5900,793
img_0684,967.3,1158,831
img_0685,1208.7,2166,782
img_0686,994.9,1350,685
img_0687,947.4,1334,606
img_0688,1477.7,2840,1036
img_0689,1224.8,2036,791
img_0690,1054.5,2063,622
img_0691,1113.3,1823,639
img_0692,871.6,1455,606
img_0693,1275.2,1719,782
img_0694,1165.4,2175,677
img_0695,1109.0,1446,644
img_0696,949.8,1183,676
img_0697,1208.0,2064,782
img_0698,1013.4,1697,678
img_0699,1218.3,1430,959
img_0700,1104.8,1359,652
img_0701,1563.1,4236,670
img_0702,1091.9,2027,606
img_0703,1228.5,2781,806
img_0704,1227.2,2014,815
img_0705,1556.2,4136,630
img_0706,1008.1,1247,694
img_0707,2317.9,10009,806
img_0708,1498.0,4400,884
img_0709,2848.7,14965,742
img_0710,1267.3,2152,630
img_0711,917.3,1133,593
img_0712,1424.2,2758,891
img_0713,1545.3,3239,797
img_0714,1577.7,3120,1039
img_0715,1375.3,5775,645
img_0716,1163.4,2489,774
img_0717,1275.2,3277,652
img_0718,916.7,1325,638
img_0719,958.8,1710,663
img_0720,1486.9,3510,671
img_0721,861.8,1019,748
img_0722,961.2,1185,683
img_0723,1614.5,4496,701
img_0724,1582.6,6989,741
img_0725,1420.1,2935,975
img_0726,1528.3,2022,965
img_0727,1269.1,1895,975
img_0728,1657.7,3728,798
img_0729,1099.3,2399,807
img_0730,920.8,1416,615
img_0731,1600.5,5697,615
img_0732,2029.0,7422,719
img_0733,1204.1,3430,599
img_0734,1321.0,3443,741
img_0735,966.5,1399,711
img_0736,1149.2,2632,709
img_0737,1240.8,2293,838
img_0738,1404.4,3904,743
img_0739,1191.6,1639,775
img_0740,899.7,985,790
img_0741,1217.1,2351,718
img_0742,1667.2,2967,1055
img_0743,1196.8,3599,620
img_0744,1177.4,2604,701
img_0745,4372.7,31047,752
img_0746,1829.3,3137,791
img_0747,1352.9,2976,748
img_0748,1504.2,2668,1078
img_0749,1009.1,1991,687
img_0750,1142.3,2426,599
img_0751,1150.3,1502,726
img_0752,1313.7,2766,558
img_0753,1581.0,1983,991
img_0754,1397.8,1678,1056
img_0755,1017.2,1395,710
img_0756,1489.1,2598,751
img_0757,4417.0,31780,680
img_0758,1049.5,1711,582
img_0759,1068.4,1633,495
img_0760,3004.8,13327,859
img_0761,1490.5,2197,1095
img_0762,1188.0,1753,894
img_0763,1238.3,2064,813
img_0764,976.1,2106,675
img_0765,1076.9,1782,727
img_0766,1381.2,2333,743
img_0767,1298.9,2284,643
img_0768,1123.9,1464,349
img_0769,1525.0,2202,1031
img_0770,928.4,1281,566
img_0771,1059.8,2028,742
img_0772,1585.5,4296,917
img_0773,910.2,1423,661
img_0774,1215.0,2191,638
img_0775,1523.3,3730,1068
img_0776,1244.6,1568,1006
img_0777,992.0,1182,806
img_0778,823.6,1079,631
img_0779,1258.1,1998,789
img_0780,1634.7,6588,590
img_0781,1128.0,1901,805
img_0782,1340.4,4008,606
img_0783,1089.6,2703,655
img_0784,866.0,1111,687
img_0785,1315.0,2160,966
img_0786,1192.4,2983,639
img_0787,1350.4,1815,1062
img_0788,1022.9,1328,687
img_0789,1316.8,2676,831
img_0790,1115.0,2046,775
img_0791,1262.6,2247,815
img_0792,1032.0,1317,695
img_0793,1146.8,2254,743
img_0794,1898.5,7024,840
img_0795,1796.7,3949,751
img_0796,1056.9,1496,800
img_0797,1314.4,2631,734
img_0798,1231.8,1990,869
img_0799,1384.6,4048,733
img_0800,1230.1,1998,830
img_0801,933.8,1714,645
img_0802,1191.8,1665,750
img_0803,2346.8,6000,775
img_0804,1906.9,5583,654
img_0805,1215.8,3798,758
img_0806,1613.5,6180,732
img_0807,1000.4,1659,733
img_0808,1040.5,1598,662
img_0809,1813.3,6224,783
img_0810,1685.7,2280,1207
img_0811,1132.1,1543,782
img_0812,1171.7,1614,712
img_0813,1135.8,1989,739
img_0814,1353.2,1589,1116
img_0815,1118.7,1943,583
img_0816,1001.4,1289,735
img_0817,983.9,1792,589
img_0818,1449.2,3174,637
img_0819,1315.6,1825,998
img_0820,1395.6,3631,607
img_0821,1389.5,2453,566
img_0822,1380.5,2872,766
img_0823,1331.3,2350,718
img_0824,1746.8,3093,782
img_0825,1210.1,2568,774
img_0826,1328.4,2158,701
img_0827,1333.5,2846,695
img_0828,1767.4,5916,616
img_0829,1330.5,2239,828
img_0830,1119.3,2496,663
img_0831,1101.5,1913,740
img_0832,1630.4,2832,680
img_0833,909.9,1735,684
img_0834,1599.9,2389,848
img_0835,2158.5,6546,990
img_0836,1136.2,1918,764
img_0837,1483.8,3809,967
img_0838,1106.4,2079,767
img_0839,979.7,1339,653
img_0840,1052.0,1410,823
img_0841,962.5,1246,703
img_0842,1655.7,4681,599
img_0843,1240.8,1766,687
img_0844,1413.0,5020,811
img_0845,885.8,1054,727
img_0846,1095.0,1669,486
img_0847,998.6,1548,782
img_0848,992.1,1419,716
img_0849,1039.5,1732,750
img_0850,950.1,1357,727
img_0851,1001.7,1223,790
img_0852,1148.8,1982,797
img_0853,991.2,1837,615
img_0854,1222.2,2343,657
img_0855,1533.4,2871,1093
img_0856,1977.6,7753,1023
img_0857,1675.4,5289,608
img_0858,1125.3,1529,836
img_0859,1020.8,1502,831
img_0860,1624.8,3230,1078
img_0861,926.1,1310,671
img_0862,1458.8,2591,965
img_0863,971.6,1383,711
img_0864,1432.8,2616,822
img_0865,1050.5,1456,808
img_0866,1400.3,3660,799
img_0867,1658.6,8034,677
img_0868,997.8,1887,630
img_0869,1083.6,1999,582
img_0870,1042.1,1999,597
img_0871,1027.1,1816,751
img_0872,941.1,1255,679
img_0873,1379.8,2711,761
img_0874,1493.6,2451,856
img_0875,1555.7,2930,726
img_0876,1688.4,4940,887
img_0877,938.6,1279,591
img_0878,2965.6,15984,814
img_0879,958.0,1315,678
img_0880,2222.0,7281,759
img_0881,1568.2,4104,503
img_0882,1126.7,2349,628
img_0883,953.4,1242,694
img_0884,1168.2,2950,682
img_0885,1189.6,1998,710
img_0886,1417.2,3589,927
img_0887,1230.2,2182,950
img_0888,1121.0,1460,820
img_0889,1832.8,4540,1066
img_0890,1294.5,1783,1072
img_0891,1080.8,1743,685
img_0892,1104.6,2087,759
img_0893,2255.1,3761,1199
img_0894,1349.4,3143,895
img_0895,1166.6,1494,609
img_0896,1154.0,2513,647
img_0897,1071.4,1624,799
img_0898,1114.1,1590,668
img_0899,1632.3,2960,941
img_0900,2004.8,10596,736
img_0901,2218.4,12631,630
img_0902,3308.3,22783,770
img_0903,848.7,1064,511
img_0904,988.9,1572,758
img_0905,1318.1,2408,847
img_0906,1272.7,1778,967
img_0907,988.8,1847,627
img_0908,1257.7,1919,767
img_0909,2454.4,15128,633
img_0910,992.9,1623,766
img_0911,1110.3,2127,687
img_0912,1263.9,1463,927
img_0913,1428.3,2071,1045
img_0914,1698.6,3674,615
img_0915,812.1,1087,551
img_0916,1098.7,1802,647
img_0917,1494.4,4912,629
img_0918,1689.9,4361,798
img_0919,1019.5,1613,663
img_0920,922.3,1407,631
img_0921,1201.2,2175,747
img_0922,1130.3,2045,764
img_0923,1504.7,4734,472
img_0924,1280.4,2292,535
img_0925,1234.2,2030,655
img_0926,1066.2,2197,653
img_0927,1047.0,1481,557
img_0928,958.0,1903,517
img_0929,1299.8,2765,884
img_0930,991.4,1519,637
img_0931,1183.2,1639,978
img_0932,1678.8,3157,992
img_0933,1229.1,1827,694
img_0934,1030.6,1388,679
